code,country,frequency_of_observation,measure,unit_of_measure,financing_scheme,financing_scheme_rev,health_function,mode_of_provision,provider,health_care_provider,year,health_expenditure_as_percent_gdp,unit_mult
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,5.047,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,4.977,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,4.961,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,4.409,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,4.369,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,4.235,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,3.91,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,4.081,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,2.904,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,2.86,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,4.373,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,3.596,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,4.134,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.488,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.239,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.035,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.659,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.75,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.729,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.674,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.672,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,9.063,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,8.959,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.089,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.97,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.74,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.656,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.535,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.487,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.352,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,5.957,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,5.185,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,4.974,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,5.295,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,4.781,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.164,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,6.702,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,6.641,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,6.362,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.281,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.095,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.078,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.594,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.845,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,6.772,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,6.691,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,6.597,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,5.338,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,5.139,0
EST,Estonia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,4.703,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,4.184,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,4.281,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,5.373,0
CHN,China (People’s Republic of),Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,5.148,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,2.936,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,3.329,0
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,5.135,0
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.28,0
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.961,0
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.76,0
LUX,Luxembourg,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,6.381,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,1.842,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,2.964,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,2.869,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,2.914,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,2.604,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,2.517,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,2.107,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,2.905,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,2.868,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,3.021,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,2.924,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,2.235,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,1.969,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,2.106,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,2.904,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,2.989,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,2.791,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,2.623,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,2.548,0
IDN,Indonesia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,2.807,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,9.547,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,9.395,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,9.269,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,9.709,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.199,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.026,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,10.221,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,10.226,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,9.726,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,9.532,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,9.531,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,9.627,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.349,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.384,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.488,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,9.204,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.352,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.368,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.368,0
AUT,Austria,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.286,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.469,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,7.536,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.956,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.589,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,5.509,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,5.332,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.303,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,6.973,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,6.762,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,6.884,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,7.495,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,7.299,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.177,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.851,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,6.92,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,7.666,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,7.948,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,6.666,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,6.757,0
SVK,Slovak Republic,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,5.448,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,6.828,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.695,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.902,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.708,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.019,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,6.608,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,7.121,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,7.038,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.051,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.96,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,6.96,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.823,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.872,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.901,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.225,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,7.258,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.196,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.804,0
ISR,Israel,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.855,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,4.396,0
IND,India,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,4.161,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.687,0
JPN,Japan,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.658,0
CYP,Cyprus,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.431,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,9.88,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,9.46,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,9.134,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,11.229,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,10.005,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,10.142,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,9.532,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,9.417,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,9.58,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,10.058,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,11.426,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,11.199,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,11.413,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,10.137,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,10.226,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,11.004,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,10.7,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,10.615,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,10.348,0
CHE,Switzerland,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,10.119,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,6.169,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,7.092,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,7.52,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,7.552,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,7.195,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,6.944,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,7.118,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,6.817,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,6.814,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,6.61,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,5.498,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,6.018,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,6.417,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,6.346,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,7.442,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,7.784,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,6.546,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,5.992,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,5.725,0
UKR,Ukraine,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,5.307,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,7.589,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,8.745,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,8.669,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.563,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,8.419,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,8.542,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.965,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,7.872,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,7.674,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.247,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,8.052,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.972,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,8.083,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2003,7.877,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2004,7.65,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2002,6.801,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2001,6.769,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2000,6.799,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,8.949,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,9.124,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.087,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2013,9.066,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2012,9.156,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,9.168,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2010,9.119,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2009,9.108,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2008,8.382,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2007,7.919,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2006,7.829,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2005,7.74,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2016,10.09,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2015,10.174,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2014,9.825,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,10.052,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,10.112,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2011,8.534,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,9.135,0
AUS,Australia,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2019,10.213,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2018,8.999,0
ESP,Spain,Annual,Expenditure,Percentage of GDP,Total,_Z,Total,Total,_T,Total,2017,8.947,0
