country,frequency_of_observation,measure,unit_of_measure,age,age,sex,sex,socio_econ_status,death_cause,calc_methodology,calculation_methodology,gestation_threshold,year,avoidable_mortality
Australia,Annual,Avoidable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2001,24175.0
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2018,109.7
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2017,112.9
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2016,114.6
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2015,119.7
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2014,118.0
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2013,116.2
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2012,119.0
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2011,123.7
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2010,123.5
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2009,128.8
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2008,131.1
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2007,131.5
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2006,134.3
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2004,140.1
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2003,146.0
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2002,155.2
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2001,158.2
Australia,Annual,Avoidable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2001,295.9
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2018,7964.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2017,8033.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2016,7660.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2015,7921.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2014,7547.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2013,7157.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2012,7034.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2011,7008.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2010,6891.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2009,6948.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2008,6751.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2007,6627.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2006,6374.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2004,6396.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2003,6485.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2002,6827.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2001,6888.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2018,12146.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2017,12205.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2016,12352.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2015,12389.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2014,12155.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2013,11927.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2012,11798.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2011,12096.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2010,12061.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2009,12251.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2008,12380.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2007,12277.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2006,12154.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2004,12758.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2003,13416.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2002,13824.0
Australia,Annual,Treatable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2001,13985.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2018,24812.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2017,24760.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2016,24107.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2015,24592.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2014,23798.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2013,22913.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2012,22264.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2011,22486.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2010,22338.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2009,22556.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2008,22242.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2007,21454.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2006,21039.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2004,21688.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2003,22042.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2002,22894.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2001,23407.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2018,16847.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2017,16727.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2016,16447.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2015,16670.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2014,16251.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2013,15756.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2012,15230.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2011,15478.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2010,15447.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2009,15608.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2008,15491.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2007,14827.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2006,14665.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2004,15291.5
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2003,15557.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2002,16067.0
Australia,Annual,Preventable mortality,Deaths,_T,Total,M,Male,_Z,_Z,_Z,Not applicable,_Z,2001,16519.0
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2018,101.0
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2017,103.2
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2016,103.1
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2015,107.7
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2014,106.6
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2013,105.2
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2012,104.8
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2011,108.9
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2010,110.0
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2009,114.0
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2008,115.8
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2007,114.5
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2006,117.9
Australia,Annual,Preventable mortality,Deaths per 100 000 inhabitants,_T,Total,_T,Total,_Z,_Z,STANDARD,Standardised rate,_Z,2004,124.3
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2009,12766.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2008,12592.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2007,12324.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2006,11962.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2004,12281.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2003,12591.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2002,13205.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,F,Female,_Z,_Z,_Z,Not applicable,_Z,2001,13217.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2018,36958.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2017,36965.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2016,36459.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2015,36981.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2014,35953.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2013,34840.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2012,34062.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2011,34582.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2010,34399.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2009,34807.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2008,34622.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2007,33731.5
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2006,33193.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2004,34446.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2003,35458.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2002,36718.0
Australia,Annual,Avoidable mortality,Deaths,_T,Total,_T,Total,_Z,_Z,_Z,Not applicable,_Z,2001,37392.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2018,46.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2017,47.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2016,50.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2015,51.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2014,51.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2013,51.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2012,53.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2011,56.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2010,56.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2009,59.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2008,61.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2007,61.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2006,63.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2004,67.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2003,71.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2002,75.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,F,Female,_Z,_Z,STANDARD,Standardised rate,_Z,2001,76.0
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2018,52.8
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2017,54.4
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2016,55.8
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2015,58.2
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2014,57.7
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2013,58.4
Australia,Annual,Treatable mortality,Deaths per 100 000 inhabitants,_T,Total,M,Male,_Z,_Z,STANDARD,Standardised rate,_Z,2012,59.1
