country,year,set_healtchare_capita_outcomes,base_period
United Kingdom,2002,3452.641,2015.0
United Kingdom,2001,3464.749,2015.0
Canada,2007,7110.434,2015.0
Canada,2018,5483.456,2015.0
Canada,2016,5718.629,2015.0
Canada,2015,6352.054,2015.0
Canada,2014,6383.136,2015.0
Canada,2013,6909.123,2015.0
Canada,2012,7439.307,2015.0
Canada,2011,7725.309,2015.0
Canada,2010,7665.589,2015.0
Canada,2006,5628.656,2015.0
Canada,2009,6512.695,2015.0
Canada,2006,0.324,
Canada,2018,0.254,
Canada,2016,0.285,
Canada,2015,0.319,
Canada,2014,0.316,
Canada,2013,0.352,
Canada,2012,0.388,
Canada,2011,0.409,
Canada,2010,0.421,
Canada,2009,0.375,
Canada,2008,0.327,
Portugal,2018,100.0,
Portugal,2017,100.0,
Slovak Republic,2011,27.222,
Slovak Republic,2010,29.316,
Slovak Republic,2009,31.666,
Slovak Republic,2008,37.217,
Slovak Republic,2007,8.646,
Slovak Republic,2006,21.387,
Slovak Republic,2005,80.311,
Slovak Republic,2013,32.025,
Luxembourg,2010,0.038,
Luxembourg,2009,0.07,
Luxembourg,2007,0.033,
Luxembourg,2006,0.045,
Luxembourg,2005,0.096,
Luxembourg,2004,0.114,
Luxembourg,2003,0.051,
Luxembourg,2002,0.028,
Luxembourg,2001,0.012,
Slovenia,2013,7.045,2015.0
Sweden,2006,109.0,
Sweden,2005,111.0,
Sweden,2004,234.0,
Sweden,2003,184.0,
Sweden,2002,194.0,
Sweden,2001,194.0,
Sweden,2018,240.0,
Sweden,2017,211.0,
Sweden,2016,194.0,
Sweden,2015,184.0,
Sweden,2014,152.0,
Sweden,2013,140.0,
Sweden,2012,141.0,
Sweden,2011,148.0,
Sweden,2010,130.0,
Sweden,2009,122.0,
Sweden,2008,125.0,
Portugal,2018,53.62,
Portugal,2017,30.502,
Sweden,2006,17.411,
Sweden,2005,18.622,
Sweden,2004,16.143,
Sweden,2003,17.298,
Sweden,2002,15.797,
Sweden,2001,17.166,
Sweden,2018,21.779,
Sweden,2017,23.655,
Sweden,2016,20.726,
Sweden,2015,19.637,
Sweden,2014,18.933,
Sweden,2013,16.152,
Sweden,2012,16.962,
Sweden,2011,18.874,
Sweden,2010,15.366,
Sweden,2009,17.435,
Sweden,2008,17.639,
Sweden,2013,0.025,
Sweden,2012,0.026,
Sweden,2011,0.027,
Sweden,2010,0.024,
Sweden,2009,0.025,
Sweden,2008,0.024,
Sweden,2007,0.022,
Sweden,2006,0.022,
Sweden,2005,0.023,
Sweden,2004,0.015,
Sweden,2003,0.015,
Sweden,2002,0.017,
Sweden,2001,0.016,
Sweden,2018,0.025,
Sweden,2017,0.025,
Sweden,2016,0.024,
Sweden,2015,0.023,
Costa Rica,2016,21643.994,2015.0
Costa Rica,2015,14143.267,2015.0
Costa Rica,2014,11809.625,2015.0
Costa Rica,2013,12584.493,2015.0
Costa Rica,2012,9134.876,2015.0
Costa Rica,2011,10799.254,2015.0
Costa Rica,2018,8099.883,2015.0
Latvia,2018,13.216,
Latvia,2017,10.156,
Portugal,2018,16.1,
Portugal,2017,23.623,
Portugal,2016,28.399,
Sweden,2007,10.374,
Sweden,2006,11.282,
Sweden,2005,10.145,
Sweden,2004,10.0,
Sweden,2003,11.524,
Iceland,2012,0.008,
Iceland,2011,0.001,
Iceland,2010,0.02,
Iceland,2009,0.005,
Iceland,2008,0.004,
Iceland,2007,0.041,
Israel,2014,100.0,
Israel,2013,100.0,
Israel,2012,100.0,
Israel,2011,100.0,
Israel,2010,100.0,
Israel,2009,100.0,
Israel,2008,100.0,
Israel,2018,100.0,
Israel,2017,100.0,
Israel,2016,100.0,
Costa Rica,2016,100.0,
Costa Rica,2015,100.0,
Costa Rica,2014,100.0,
Costa Rica,2013,100.0,
Costa Rica,2012,100.0,
Costa Rica,2011,100.0,
Costa Rica,2018,100.0,
Czechia,2014,2926.363,2015.0
Czechia,2013,2969.282,2015.0
Czechia,2012,3923.1,2015.0
Czechia,2011,4964.442,2015.0
Czechia,2010,7087.286,2015.0
Czechia,2009,7334.316,2015.0
Czechia,2008,5953.193,2015.0
Czechia,2007,7613.535,2015.0
Czechia,2006,6715.651,2015.0
Czechia,2005,7562.918,2015.0
Czechia,2004,7448.14,2015.0
Czechia,2003,8195.931,2015.0
Czechia,2018,4322.265,2015.0
Czechia,2017,3284.66,2015.0
Czechia,2016,3791.484,2015.0
Canada,2006,5190.378,
Canada,2005,4680.389,
Canada,2004,3918.773,
Canada,2003,3606.7,
Canada,2018,5197.206,
Canada,2016,5544.612,
Canada,2015,5613.864,
Canada,2014,6056.511,
Canada,2013,6321.455,
Canada,2012,6929.231,
Canada,2011,7245.188,
Canada,2010,6927.097,
Canada,2009,6241.63,
Canada,2008,5725.439,
Malta,2018,0.003,
Malta,2018,1.954,
Malta,2018,0.327,2015.0
Malta,2017,1.393,2015.0
Cyprus,2017,0.153,
Cyprus,2016,0.145,
Cyprus,2015,0.134,
Sweden,2001,417.48,2015.0
Sweden,2018,446.526,2015.0
Sweden,2017,322.804,2015.0
Sweden,2016,310.506,2015.0
Sweden,2015,390.0,2015.0
Sweden,2014,318.073,2015.0
Sweden,2013,240.662,2015.0
Sweden,2012,219.599,2015.0
Sweden,2011,267.699,2015.0
Sweden,2010,631.533,2015.0
Sweden,2009,258.916,2015.0
Slovenia,2013,100.0,
Latvia,2006,0.977,2015.0
Latvia,2018,0.382,2015.0
Israel,2012,12.0,
Israel,2011,6.0,
Israel,2010,7.0,
Israel,2009,11.0,
Israel,2008,5.0,
Israel,2018,7.0,
Israel,2016,6.0,
Israel,2015,6.0,
Israel,2014,6.0,
Costa Rica,2016,1145.101,
Costa Rica,2015,368.676,
Costa Rica,2014,157.097,
Costa Rica,2013,118.013,
Costa Rica,2012,119.774,
Costa Rica,2011,226.561,
Costa Rica,2018,1205.664,
Czechia,2008,0.012,
Czechia,2007,0.008,
Czechia,2006,0.008,
Czechia,2005,0.012,
Czechia,2004,0.01,
Czechia,2003,0.009,
Czechia,2018,0.008,
Czechia,2017,0.014,
Czechia,2016,0.014,
Czechia,2015,0.019,
Czechia,2014,0.009,
Czechia,2013,0.008,
Czechia,2012,0.018,
Czechia,2011,0.01,
Czechia,2010,0.006,
Czechia,2009,0.01,
Iceland,2006,92.963,
Iceland,2005,129.791,
Iceland,2004,46.287,
Iceland,2003,71.75,
Iceland,2002,67.536,
Iceland,2001,106.571,
Iceland,2018,365.512,
Iceland,2017,317.896,
Iceland,2016,172.454,
Iceland,2015,186.602,
Iceland,2014,89.725,
Iceland,2013,86.69,
Iceland,2012,63.612,
Iceland,2011,164.371,
Iceland,2010,109.929,
Iceland,2009,86.532,
Iceland,2008,62.57,
Iceland,2005,0.004,
Iceland,2004,0.005,
Iceland,2003,0.005,
Iceland,2002,0.005,
Iceland,2001,0.004,
Iceland,2018,0.068,
Iceland,2017,0.002,
Iceland,2016,0.004,
Iceland,2015,0.005,
Iceland,2014,0.027,
Iceland,2013,0.007,
Israel,2016,500.361,2015.0
Israel,2015,435.0,2015.0
Israel,2014,496.214,2015.0
Israel,2013,506.203,2015.0
Israel,2012,376.368,2015.0
Israel,2011,464.851,2015.0
Israel,2010,417.87,2015.0
Israel,2009,415.633,2015.0
Israel,2008,447.092,2015.0
Israel,2018,494.774,2015.0
Israel,2014,0.044,
Israel,2013,0.047,
Israel,2012,0.036,
Israel,2011,0.046,
Israel,2010,0.043,
Israel,2009,0.045,
Israel,2008,0.05,
Israel,2018,0.037,
Israel,2017,0.055,
Israel,2016,0.04,
Costa Rica,2016,0.005,
Costa Rica,2015,0.004,
Costa Rica,2014,0.003,
Costa Rica,2013,0.002,
Costa Rica,2012,0.001,
Costa Rica,2011,0.002,
Costa Rica,2018,0.007,
Korea,2010,2095353.0,
Korea,2009,1775660.0,
Korea,2008,2037857.0,
Korea,2001,829355.0,
Korea,2018,3603904.0,
Korea,2017,2833518.0,
Korea,2016,2275628.0,
Korea,2015,2522088.0,
Korea,2014,2105433.0,
Korea,2013,2204025.0,
Korea,2012,2048759.0,
Korea,2011,1796424.0,
Slovak Republic,2007,100.0,
Slovak Republic,2006,100.0,
Slovak Republic,2013,100.0,
Slovak Republic,2012,100.0,
Slovak Republic,2011,100.0,
Slovak Republic,2010,100.0,
Slovak Republic,2009,100.0,
Lithuania,2005,22.774,2015.0
Sweden,2007,252.664,2015.0
Sweden,2006,246.42,2015.0
Sweden,2005,244.316,2015.0
Sweden,2004,379.678,2015.0
Sweden,2003,381.133,2015.0
Sweden,2002,370.874,2015.0
Canada,2016,0.004,
Canada,2015,0.005,
Canada,2014,0.003,
Canada,2013,0.003,
Canada,2012,0.004,
Canada,2011,0.005,
Canada,2010,0.005,
Canada,2009,0.004,
Canada,2008,0.002,
Portugal,2018,5.654,2015.0
Portugal,2017,4.85,2015.0
Portugal,2016,4.311,2015.0
Sweden,2018,0.007,
Sweden,2017,0.008,
Sweden,2016,0.012,
Sweden,2015,0.009,
Sweden,2014,0.01,
Sweden,2013,0.012,
Sweden,2012,0.011,
Sweden,2011,0.02,
Sweden,2010,0.015,
Sweden,2009,0.004,
Sweden,2008,0.005,
Sweden,2007,0.012,
Sweden,2006,0.009,
Sweden,2005,0.008,
Sweden,2004,0.008,
Sweden,2003,0.007,
Sweden,2002,0.009,
Sweden,2001,0.01,
Latvia,2018,3.779,
Sweden,2006,8575.635,2015.0
Sweden,2005,8355.358,2015.0
Sweden,2004,8284.432,2015.0
Sweden,2003,8891.073,2015.0
Sweden,2002,9296.83,2015.0
Sweden,2001,7832.225,2015.0
Sweden,2018,10939.419,2015.0
Sweden,2017,10360.57,2015.0
Sweden,2016,11054.029,2015.0
Sweden,2015,10164.0,2015.0
Sweden,2014,9386.72,2015.0
Sweden,2013,10134.647,2015.0
Sweden,2012,8854.039,2015.0
Sweden,2011,9285.867,2015.0
Sweden,2010,9758.587,2015.0
Sweden,2009,9175.687,2015.0
Sweden,2008,8922.929,2015.0
Greece,2018,0.197,
Greece,2017,0.136,
Greece,2016,0.11,
Greece,2015,0.113,
Greece,2014,0.094,
Greece,2013,0.132,
Greece,2012,0.1,
Greece,2011,0.123,
Greece,2010,0.121,
Greece,2009,0.155,
Costa Rica,2016,51.76,
Costa Rica,2015,66.368,
Costa Rica,2014,68.403,
Costa Rica,2013,66.381,
Costa Rica,2012,62.918,
Costa Rica,2011,47.688,
Costa Rica,2018,63.106,
Portugal,2018,49.193,
Portugal,2017,50.864,
Portugal,2016,51.769,
Portugal,2018,0.004,
Portugal,2017,0.005,
Portugal,2016,0.006,
Malta,2018,13.505,2015.0
Malta,2017,8.719,2015.0
Malta,2018,48.578,
Malta,2017,4.679,
Brazil,2017,14804.212,2015.0
Brazil,2016,18277.609,2015.0
Brazil,2015,17360.268,2015.0
Latvia,2018,0.091,2015.0
Latvia,2017,0.068,2015.0
Finland,2002,4.56,
Finland,2001,4.552,
Finland,2018,2.113,
Finland,2017,1.095,
Finland,2016,3.684,
Finland,2015,2.216,
Finland,2014,2.216,
Finland,2013,3.711,
Finland,2012,5.467,
Finland,2011,4.387,
Finland,2010,5.36,
Finland,2009,5.886,
Finland,2008,3.452,
Finland,2007,5.76,
Finland,2006,8.819,
Finland,2005,5.457,
Finland,2004,4.514,
Latvia,2018,0.005,
Finland,2006,0.022,
Finland,2005,0.014,
Finland,2004,0.012,
Finland,2003,0.013,
Finland,2002,0.012,
Finland,2001,0.012,
Finland,2018,0.016,
Finland,2017,0.014,
Finland,2016,0.013,
Finland,2015,0.013,
Finland,2014,0.014,
Finland,2013,0.023,
Finland,2012,0.023,
Finland,2011,0.015,
Finland,2010,0.019,
Finland,2009,0.018,
Finland,2008,0.012,
Costa Rica,2018,5.015,
Costa Rica,2017,3.022,
Costa Rica,2016,2.042,
Costa Rica,2015,2.915,
Costa Rica,2014,3.891,
Costa Rica,2013,2.55,
Costa Rica,2012,2.103,
Costa Rica,2011,2.562,
Canada,2006,50.332,2015.0
Canada,2018,204.07,2015.0
Canada,2016,86.476,2015.0
Canada,2015,103.26,2015.0
Canada,2014,60.289,2015.0
Canada,2013,58.001,2015.0
Canada,2012,80.072,2015.0
Canada,2011,99.711,2015.0
Canada,2010,85.579,2015.0
Canada,2009,63.482,2015.0
Canada,2008,42.442,2015.0
Canada,2006,0.003,
Canada,2018,0.009,
Ireland,2018,0.432,
Ireland,2017,0.397,
Ireland,2016,0.455,
Ireland,2015,0.405,
Ireland,2014,0.459,
Ireland,2013,0.512,
Ireland,2012,0.311,
Ireland,2011,0.434,
Ireland,2010,0.348,
Ireland,2009,0.396,
Iceland,2018,100.0,
Iceland,2017,100.0,
Iceland,2016,100.0,
Iceland,2015,100.0,
Iceland,2014,100.0,
Iceland,2013,100.0,
Iceland,2012,100.0,
Iceland,2011,100.0,
Iceland,2010,100.0,
Iceland,2009,100.0,
Iceland,2008,100.0,
Iceland,2007,100.0,
Iceland,2006,100.0,
Iceland,2005,100.0,
Iceland,2004,100.0,
Iceland,2003,100.0,
Iceland,2002,100.0,
Iceland,2001,100.0,
Malta,2018,0.108,
Slovenia,2010,0.102,
Slovenia,2009,0.151,
Slovenia,2008,0.116,
Lithuania,2005,0.008,
Finland,2001,26.462,
Finland,2018,47.265,
Finland,2017,217.226,
Finland,2016,187.751,
Finland,2015,309.044,
Finland,2014,309.044,
Finland,2013,45.427,
Finland,2012,59.443,
Finland,2011,51.045,
Finland,2010,79.526,
Finland,2009,77.024,
Finland,2008,86.194,
Finland,2007,74.962,
Finland,2006,63.263,
Finland,2005,59.879,
Finland,2004,39.781,
Finland,2003,50.789,
Australia,2015,100.0,
Australia,2014,100.0,
Australia,2018,100.0,
Australia,2017,100.0,
Slovak Republic,2005,77.56,2015.0
Slovak Republic,2007,7.76,2015.0
Chile,2001,100.0,
Chile,2017,100.0,
Chile,2016,100.0,
Chile,2013,100.0,
Luxembourg,2010,176.234,
Luxembourg,2009,155.855,
Luxembourg,2008,249.744,
Luxembourg,2007,200.579,
Luxembourg,2006,359.766,
Luxembourg,2005,247.664,
Luxembourg,2004,199.406,
Luxembourg,2003,154.258,
Luxembourg,2002,291.702,
Luxembourg,2001,146.762,
Ireland,2008,0.431,
Ireland,2007,0.445,
Ireland,2006,0.291,
Ireland,2005,0.391,
Ireland,2004,0.588,
Ireland,2003,0.514,
Ireland,2002,0.604,
Ireland,2001,0.596,
Czechia,2018,100.0,
Czechia,2017,100.0,
Czechia,2016,100.0,
Czechia,2015,100.0,
Czechia,2014,100.0,
Czechia,2013,100.0,
Czechia,2012,100.0,
Czechia,2011,100.0,
Czechia,2010,100.0,
Slovenia,2006,100.0,
Slovenia,2005,100.0,
Slovenia,2004,100.0,
Slovenia,2003,100.0,
Slovenia,2013,100.0,
Slovenia,2011,100.0,
Slovenia,2009,100.0,
Slovenia,2008,100.0,
Sweden,2007,100.0,
Sweden,2006,100.0,
Sweden,2005,100.0,
Sweden,2004,100.0,
Sweden,2003,100.0,
Sweden,2002,100.0,
Sweden,2001,100.0,
Sweden,2018,100.0,
Sweden,2017,100.0,
Sweden,2016,100.0,
Sweden,2015,100.0,
Sweden,2014,100.0,
Sweden,2013,100.0,
Sweden,2012,100.0,
Sweden,2011,100.0,
Sweden,2010,100.0,
Sweden,2009,100.0,
Sweden,2006,23.357,2015.0
Sweden,2005,32.022,2015.0
Sweden,2004,68.486,2015.0
Sweden,2003,50.98,2015.0
Sweden,2002,34.965,2015.0
Sweden,2001,35.857,2015.0
Sweden,2018,76.761,2015.0
Sweden,2017,52.034,2015.0
Sweden,2016,39.429,2015.0
Sweden,2015,44.0,2015.0
Sweden,2014,40.648,2015.0
Sweden,2013,45.447,2015.0
Sweden,2012,39.737,2015.0
Sweden,2011,41.266,2015.0
Sweden,2010,172.432,2015.0
Sweden,2009,60.086,2015.0
Sweden,2008,34.409,2015.0
Sweden,2006,0.001,
Sweden,2005,0.001,
Sweden,2004,0.002,
Sweden,2003,0.002,
Sweden,2002,0.001,
Sweden,2001,0.001,
Sweden,2018,0.002,
Sweden,2017,0.001,
Sweden,2016,0.001,
Sweden,2015,0.001,
Sweden,2014,0.001,
Sweden,2013,0.001,
Sweden,2012,0.001,
Sweden,2011,0.001,
Sweden,2010,0.004,
Sweden,2009,0.002,
Sweden,2008,0.001,
Slovak Republic,2007,0.003,
Slovenia,2009,57.434,2015.0
Slovenia,2008,46.821,2015.0
Slovenia,2007,49.83,2015.0
Slovenia,2006,44.359,2015.0
Slovenia,2005,72.732,2015.0
Slovenia,2004,36.83,2015.0
Slovenia,2003,56.917,2015.0
Slovenia,2013,33.61,2015.0
Slovenia,2011,41.548,2015.0
Slovenia,2006,0.12,
Slovenia,2005,0.208,
